SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,,,,
 Account Receivable & Prepayments ,522502791,ZULFIQAR ALI HUSSAIN ASHIQ - WHS - 4030,1009.43,0,10,999.43,,,,,,,,
 Account Receivable & Prepayments ,522602621,ADEEL KAMES ABDUSALAM - WHS - 4009,-4.3,0,0,-4.3,,,,,,,,
 Account Receivable & Prepayments ,530901988,ANWAR ABDEL HADE - WHS - 3007,17,0,0,17,,,,,,,,
 Account Receivable & Prepayments ,531603465,SHENAMADY BASHER MOH - WHS - 4007,-3816,0,0,-3816,,,,,,,,
 Account Receivable & Prepayments ,560114109,EJAZ TAHIR SANGE - WHS - 4053,12,0,0,12,,,,,,,,
 Account Receivable & Prepayments ,570402103,GADDAM VITTAL DAS - WHS - 4056,-99.1,0,0,-99.1,,,,,,,,
 Account Receivable & Prepayments ,582701929,MAJEED DAWOOD ALEKAR - WHS - 4032,171,0,0,171,,,,,,,,
 Account Receivable & Prepayments ,583102392,MOSTAFA MAHDY - WHS - 4022,44.444,0,0,44.444,,,,,,,,
 Account Receivable & Prepayments ,592801307,MOTAMED ELSAYED MOHAMED MOHAMED -CPD - 2247,-88.52,0,0,-88.52,,,,,,,,
 Account Receivable & Prepayments ,592801315,GHAREEB ALSAYED MAHMOUD MURSI ABU ALELA  - 3020,100,0,0,100,,,,,,,,
 Account Receivable & Prepayments ,592801323,RONNIE NALAM - 2280,1.01,0,0,1.01,,,,,,,,
 Account Receivable & Prepayments ,592801330,RUSSEL FRANCISCO  - 2279,0.4,0,0,0.4,,,,,,,,
 Account Receivable & Prepayments ,592801332,JAMAL ABDOH KAREEM MOHAMMAD  - 2289,-140,0,0,-140,,,,,,,,
 Account Receivable & Prepayments ,592801334,SANJAY KUMAR NIRMAL ASHRAFI LAL  - 2303,-0.004,0,0,-0.004,,,,,,,,
 Account Receivable & Prepayments ,592801337,WAEL ABDULMOHSEN ABDULKAREEM AMMAR  - 2305,-0.09,168,168,-0.09,,,,,,,,
 Account Receivable & Prepayments ,592801339,ABDUL JABBAR KUNHALAKATH CHERIYABAVA - 2360,-99.2,0,0,-99.2,,,,,,,,
 Account Receivable & Prepayments ,592801340,NISHAD MANDALI KUNDIL - 2367,-199.54,0,0,-199.54,,,,,,,,
 Account Receivable & Prepayments ,592801343,SAJJAD NASRUDDIN ISMIL WALELY  - 4068,-25,0,0,-25,,,,,,,,
 Account Receivable & Prepayments ,592801345,PAULO TABASA - 2266,-199.29,0,0,-199.29,,,,,,,,
 Account Receivable & Prepayments ,592801354,RAMADHAN ALSHERBEENI RAMADHAN MOHAMMAD -2343,1247.88,0,0,1247.88,,,,,,,,
 Account Receivable & Prepayments ,592801361,JAIGEE JOHN 4089,75.666,0,0,75.666,,,,,,,,
 Account Receivable & Prepayments ,592801368,SIKANDAR TAJUDDIN HALDE  - 2320,0.19,0,0,0.19,,,,,,,,
 Account Receivable & Prepayments ,592801369,RAFI SYED SYED JAFAR - 4079,-30.654,0,0,-30.654,,,,,,,,
 Account Receivable & Prepayments ,592801371,ALI ABDULJAWAD ALI MOHAMMAD - 2378,-75,75,75,-75,,,,,,,,
 Account Receivable & Prepayments ,592801372,KESAV LAL KALAL  - 4070,0,0,5,-5,,,,,,,,
 Account Receivable & Prepayments ,592801380,MOHAMED SAIED HAMADY SAIED-2356,-110,0,0,-110,,,,,,,,
 Account Receivable & Prepayments ,592801384,Mostafa Ibrahim Mursi Ata - 2370,35,0,0,35,,,,,,,,
 Account Receivable & Prepayments ,592801385,Shabeer Kunnumpurath - 2393,-84.9,0,0,-84.9,,,,,,,,
 Account Receivable & Prepayments ,592801388,Shehata Shawky Mohamed Yossef  - 2374,-218.79,140.49,140.49,-218.79,,,,,,,,
 Account Receivable & Prepayments ,592801397,Mohamedu Illiyas  - 2357,-112,0,0,-112,,,,,,,,
 Account Receivable & Prepayments ,592801399,Veera Venkata Naga Srinu Tirumani   - 2408,-200,0,0,-200,,,,,,,,
 Account Receivable & Prepayments ,592801401,Mahmoud Ali Sadek Mahmoud  - 2404,0.81,0,0,0.81,,,,,,,,
 Account Receivable & Prepayments ,592801402,Mahmoud Mohamed Abdelkader Kwatin  - 2388,-35,0,0,-35,,,,,,,,
 Account Receivable & Prepayments ,592801403,Ibrahim Abdelmoniem Ibrahim Abdelnaeim  - 2391,-150,0,0,-150,,,,,,,,
 Account Receivable & Prepayments ,592801406,NAMEEM KHAN - CA - 2001342,-163.171,0,0,-163.171,,,,,,,,
 Account Receivable & Prepayments ,592801407,Aly Eyd Milad Mabrouk  - 4085,8.616,0,0,8.616,,,,,,,,
 Account Receivable & Prepayments ,592801409,Ramya Hemanth Kumar  - 4099,3,0,0,3,,,,,,,,
 Account Receivable & Prepayments ,592801413,Khaled Mahmoud Ahmed Abdalla  - 2405,0,0,46,-46,,,,,,,,
 Account Receivable & Prepayments ,592801414,Saidalavi Pullathiyil  - 2382,-104.5,0,0,-104.5,,,,,,,,
 Account Receivable & Prepayments ,592801418,Ashley D Souza - 2001362,-56.27,0,0,-56.27,,,,,,,,
 Account Receivable & Prepayments ,592801425,Hani Mohamed Elsayed Elshahawy - 2399,-109.01,100,0,-9.01,,,,,,,,
 Account Receivable & Prepayments ,592801427,Farah A Kh Khdair - 2001397,175,0,0,175,,,,,,,,
 Account Receivable & Prepayments ,592801428,HANI RAMADAN MAHMOUD AMIN - 2387,50.24,0,0,50.24,,,,,,,,
 Account Receivable & Prepayments ,592801429,EYOUN AHMED MOHAMED SAYED- 2001353,2.58,0,0,2.58,,,,,,,,
 Account Receivable & Prepayments ,592801432,SURYAVANSHI AALOK PRIYADARSHI DENISH - 2001004,0.001,0,0,0.001,,,,,,,,
 Account Receivable & Prepayments ,592801437,Saadoun Hashem Kayed Abbasi - 2001414,1000,1000,2000,0,,,,,,,,
 Account Receivable & Prepayments ,592801447,Hasan Salah Ahmed Faragallah - 2001356,0.48,0,0,0.48,,,,,,,,
 Account Receivable & Prepayments ,592801449,Mohamed Ali Hussain Kahil - 2001426 (c/o bassem),2019.231,2000,4000,19.231,,,,,,,,
 Account Receivable & Prepayments ,592801450,Yahya Asakereh - 2001357,-329.9,0,0,-329.9,,,,,,,,
 Account Receivable & Prepayments ,592801455,Dalya Ashraf Mokhtar Madyan  2001392,114.999,0,0,114.999,,,,,,,,
 Account Receivable & Prepayments ,592801458,George Victor Salloum - 2001413,0,372.62,372.62,0,,,,,,,,
 Account Receivable & Prepayments ,592801460,SANESH SIVAN - 2001339,450,0,0,450,,,,,,,,
 Account Receivable & Prepayments ,592801462,BADER SULTAN,1179.997,0,0,1179.997,,,,,,,,
 Account Receivable & Prepayments ,592801466,ABDUL HAFEEZ KHDAIR 94095452 ROUTER,279.993,0,0,279.993,,,,,,,,
 Account Receivable & Prepayments ,592801467,RAJU N SUNKARA 97549160 ROUTER,237.6,0,0,237.6,,,,,,,,
 Account Receivable & Prepayments ,592801468,PIERRE E FARES - 2001372,0.002,0,0,0.002,,,,,,,,
 Account Receivable & Prepayments ,592801470,Mahmoud Musthafa Abdul Majid  - 2001315,-39.558,0,27.778,-67.336,,,,,,,,
 Account Receivable & Prepayments ,592801471,Mahmoud Kamal Mahmoud Abdelbaki 2001409,140,0,0,140,,,,,,,,
 Account Receivable & Prepayments ,592801472,Alaa Mohamad Thalaj Supply Chain 2001447,45,0,45,0,,,,,,,,
 Account Receivable & Prepayments ,592801474,Nada Samir Abdelhamid Attallah FSD 2001404,105,105,210,0,,,,,,,,
 Account Receivable & Prepayments ,592801475,Ayman Rabiei Abdalla Mohamed 2001359,-90,0,0,-90,,,,,,,,
 Account Receivable & Prepayments ,592801477,Mohammad Ali Subhi - 2001361,-57.544,0,0,-57.544,,,,,,,,
 Account Receivable & Prepayments ,592801480,Mostafa Ahmed Mahmoud Abbas - 2001436,-96,0,0,-96,,,,,,,,
 Account Receivable & Prepayments ,592801484,Denuwan Priyashanka - 2001382,-162,0,0,-162,,,,,,,,
 Account Receivable & Prepayments ,592801485,Mizan Din Islam - 2001448,-27,0,0,-27,,,,,,,,
 Account Receivable & Prepayments ,592801487,Mohammed Moutaz Costantini 2001005,8370.004,0,250,8120.004,,,,,,,,
 Account Receivable & Prepayments ,592801493,Mahmoud Mohamed Ibrahim Ahmad - 2001280,22.226,0,0,22.226,,,,,,,,
 Account Receivable & Prepayments ,592801495,Shaaban Sabra Hussein Hassan - 2001454,-146,0,0,-146,,,,,,,,
 Account Receivable & Prepayments ,592801498,Aries Minor Alvaro - 2001408,-80,0,0,-80,,,,,,,,
 Account Receivable & Prepayments ,592801499,Nisar Nilayaduth - 2001419,0,0,339.51,-339.51,,,,,,,,
 Account Receivable & Prepayments ,592801502,Anwar Aossain Ali Azzam - 2001561,-30,0,0,-30,,,,,,,,
 Account Receivable & Prepayments ,592801506,Gangadhar  Janga Mallaiah -2001566,-100,0,0,-100,,,,,,,,
 Account Receivable & Prepayments ,592801508,ElHassan Mohamed Kamel Mohamed - 2001472,-35,0,0,-35,,,,,,,,
 Account Receivable & Prepayments ,592801509,Erwin Yanto Guevarra - 2001503,-100,0,0,-100,,,,,,,,
 Account Receivable & Prepayments ,592801510,Ramadan Adel Hassan Ahmed - 2001483,-15,0,0,-15,,,,,,,,
 Account Receivable & Prepayments ,592801511,Ahmed Awadalla Abduo Abdelrady - 2001595,-26.85,0,0,-26.85,,,,,,,,
 Account Receivable & Prepayments ,592801512,MAHMOUD ABDUL MAJEED - 2001324,-100,0,0,-100,,,,,,,,
 Account Receivable & Prepayments ,592801513,Mahmoud Mohamed Mahmoud Mansour - 2001500,0,148,148,0,,,,,,,,
 Account Receivable & Prepayments ,592801515,Rashwan Abdelgawwad Mohamed Rashwan -  2001567,-134,0,0,-134,,,,,,,,
 Account Receivable & Prepayments ,592801517,MOSTAFA IBRAHIM MURSI ATA - 2001274,-70,0,0,-70,,,,,,,,
 Account Receivable & Prepayments ,592801518,Ahmed Hamdy Fathy Hassan - 2001578,25,0,20,5,,,,,,,,
 Account Receivable & Prepayments ,592801520,Yaser Azab A A Algarhi - 2001576,-214,0,0,-214,,,,,,,,
 Account Receivable & Prepayments ,592801521,Rohit Kalal - 2001513,-100,0,0,-100,,,,,,,,
 Account Receivable & Prepayments ,592801522,Hossam Assem Khattab Mohamed - 2001562,-35,0,0,-35,,,,,,,,
 Account Receivable & Prepayments ,592801523,Eslam Abdelnaser Mohamed Elsoghair  -2001479,0,65,65,0,,,,,,,,
 Account Receivable & Prepayments ,592801525,MAHAMMED I SHAIK  - 2001613,-10,0,176.8,-186.8,,,,,,,,
 Account Receivable & Prepayments ,592801527,Mahmmad Ismail Shaikh - 2001613,5,0,0,5,,,,,,,,
 Account Receivable & Prepayments ,592801528,Abdul Raheem Jad Abdul Radi - 2001592,100,0,0,100,,,,,,,,
 Account Receivable & Prepayments ,592801529,Hany Ibrahim Mahmoud Ibrahim - 2001581,-166,0,0,-166,,,,,,,,
 Account Receivable & Prepayments ,592801530,Ronald Suliva Zubiri - 2001620,-8.461,0,0,-8.461,,,,,,,,
 Account Receivable & Prepayments ,592801531,Nazih Ibrahim Kotb Ibrahim - 2001621,-18.269,0,0,-18.269,,,,,,,,
 Account Receivable & Prepayments ,592801532,Ghezel Ghalib Hashim - 2001602,-199.17,0,0,-199.17,,,,,,,,
 Account Receivable & Prepayments ,592801533,Ahmed Abdelhamid Attaya  - 2001591,-138,0,0,-138,,,,,,,,
 Account Receivable & Prepayments ,592801534,Mahmoud Ahmed Salem Zaidan - 2001593,-138,0,0,-138,,,,,,,,
 Account Receivable & Prepayments ,592801535,Biju Sankunni  Sankunni - 2001574,-164,0,0,-164,,,,,,,,
 Account Receivable & Prepayments ,592801536,Karam Kamal Abdellatif Mohamed Selim - 2001619,-100,0,0,-100,,,,,,,,
 Account Receivable & Prepayments ,592801538,Mohamed Abouelseoud Khairy Tawhid - 2001609,-35,0,0,-35,,,,,,,,
 Inventories ,11140101,INVENTORY,1023189.536,509203.599,546396.59,985996.545,,,,,,,,
 Inventories ,11140102,Delivery Note But Not Invoice,-366.945,445314.288,445314.39,-367.047,,,,,,,,
 Inventories ,11140103,CUSTOM CHARGES,-2887.286,8289.34,10887.24,-5485.186,,,,,,,,
 Inventories ,11140104,Clearing Expenses,11718.136,7284.682,7758.252,11244.566,,,,,,,,
 Inventories ,11140108,FRIGHT CHARGES,-283.177,2563.359,4053.385,-1773.203,,,,,,,,
 Inventories ,11140109,INVENTORY PACKING,-9648.622,9293.622,10156.372,-10511.372,,,,,,,,
 Account payables and accruals ,11140112,DEMURRAGE-PORT/LINE,-73,0,0,-73,,,,,,,,
 Inventories ,11140113,BANK CHARGE(L/C&POLICIES),7328.478,967,276.82,8018.658,,,,,,,,
 Inventories ,11140114,INSURANCE CHARG,-22163.912,0,699.888,-22863.8,,,,,,,,
 Account payables and accruals ,11140115,UNLODING CHARG,-105.667,0,0,-105.667,,,,,,,,
 Account payables and accruals ,11140117,UNPALETE CONTAINER,-126.682,0,0,-126.682,,,,,,,,
 Account Receivable & Prepayments ,11140118,UNPALETE - FERRERO,-0.002,0,0,-0.002,,,,,,,,
 Account Receivable & Prepayments ,11140120,STOCK TAKE DIFFERENCES ( VSM - MAIN,-68.592,0,0,-68.592,,,,,,,,
 Inventories ,11140121,PROVISION FOR STOCK - CA,-46499.582,0,0,-46499.582,,,,,,,,
 Inventories ,11140122,PROVISION FOR STOCK - FSD,-40732.466,0,0,-40732.466,,,,,,,,
 Inventories ,11140201,GOODS IN TRANSIT,10237.115,467604.889,477842.473,-0.469,,,,,,,,
 Property  and equipments ,11210101,BUILDING & WAREHOUSING,938115.42,0,0,938115.42,,,,,,,,
 Property  and equipments ,11210102,CARS,662889.86,45000,0,707889.86,,,,,,,,
 Property  and equipments ,11210103,FURNITURES,420903.17,0,0,420903.17,,,,,,,,
 Property  and equipments ,11210104,OFFICE EQUIPMENTS,645347.262,0,0,645347.262,,,,,,,,
 Property  and equipments ,11210105,COMPUTERS,280168.15,0,0,280168.15,,,,,,,,
 Property  and equipments ,11210106,MACHINARY,-0.12,0,0,-0.12,,,,,,,,
 Account Receivable & Prepayments ,11210107,WORK IN PROGRESS,35000,0,0,35000,,,,,,,,
 Property  and equipments ,11210108,LEASE HOLD LAND,608400,0,0,608400,,,,,,,,
 Property  and equipments ,11210301,ACCUMULATED DEPRECIATION ON BUILDING AND WAREHOUSE,-938116.618,0,0,-938116.618,,,,,,,,
 Property  and equipments ,11210302,ACCUMULATED  DEPRECIATION ON CARS,-650556.508,0,1249.396,-651805.904,,,,,,,,
 Property  and equipments ,11210303,ACCUMULATED DEPRECIATION ON FURNITURE,-418290.04,0,0,-418290.04,,,,,,,,
 Property  and equipments ,11210304,ACCUMULATED DEPRECIATION ON OFFICE EQUIPMENTS,-549293.282,0,6547.332,-555840.614,,,,,,,,
 Property  and equipments ,11210305,ACCUMULATED DEPRECIATON ON COMPUTERS,-275658.402,0,459.917,-276118.319,,,,,,,,
 Property  and equipments ,11210306,ACCUMULATED DEPRECIATION ON MACHINARY,0.214,0,0,0.214,,,,,,,,
 Loan to Relate Party ,11220101,LONG TERM INVESTMENT - GOODLIFE,121232.1,0,0,121232.1,,,,,,,,
 Loan to Relate Party ,11220102,LONG TERM INVESTMENT - FERGULF KUWAIT,304031,0,0,304031,,,,,,,,
 Loan to Relate Party ,11220103,LONG TERM INVESTMENT - BRAND AID,141473,0,0,141473,,,,,,,,
 Account payables and accruals ,22120101,SUPPLIERS,-106614.825,730999.205,788466.689,-164082.309,,,,,,,,
 Account payables and accruals ,22120103,SUPPLIERS A&P - BK POT,0.178,0,0,0.178,,,,,,,,
 Account payables and accruals ,22220019,PROVISION FOR OSD 2014 FWD,-12123.209,0,0,-12123.209,,,,,,,,
 Account payables and accruals ,22220034,PROVISION - REBATE 2015,11428.2,0,0,11428.2,,,,,,,,
 Account payables and accruals ,22220035,PROVISION - RENTAL 2015,-59503.425,0,0,-59503.425,,,,,,,,
 Account payables and accruals ,22220036,PROVISION - RENTAL 2018,-18222.418,0,0,-18222.418,,,,,,,,
 Account payables and accruals ,22220037,PROVISION - REBATE 2018,-2671.871,0,0,-2671.871,,,,,,,,
 Account payables and accruals ,22220038,PROVISION - REBATE 2019,-2441.189,0,0,-2441.189,,,,,,,,
 Account payables and accruals ,22220039,PROVISION - RENTAL 2019,-10979.645,0,0,-10979.645,,,,,,,,
 Employees end of service benefits ,22220101,PROVISIONS FOR ENDEMNETY,-797255.931,2022,9166.444,-804400.375,,,,,,,,
 Account payables and accruals ,22220102,PROVISIONS FOR LEAVE,-174789.702,14700.029,10179.714,-170269.387,,,,,,,,
 Account payables and accruals ,22220103,PROVISIONS FOR AIR TICKET,-177032.841,3520,4218.5,-177731.341,,,,,,,,
 Account payables and accruals ,22220228,PROVISION FOR MARKET SPENDS,-23.866,0,0,-23.866,,,,,,,,
 Account payables and accruals ,22220229,SUPPLIER CLAIMS (DEBIT NOTES) - TRADE CLAIMS,31718.99,25016,31016.67,25718.32,,,,,,,,
 Account payables and accruals ,22220230,PROVISION A&P 2020,-9494.457,0,0,-9494.457,,,,,,,,
 Account payables and accruals ,22220233,PROVISION FOR A&P 2021,-57327.019,0,0,-57327.019,,,,,,,,
 Account payables and accruals ,22220234,PROVISION FOR A&P 2022,-89428.258,0,0,-89428.258,,,,,,,,
 Account payables and accruals ,22220235,PROVISION FOR A&P 2023,-30886.056,7383,0,-23503.056,,,,,,,,
 Account payables and accruals ,22220236,KITCHEN TREASURE POOL A/C,4074.517,0,444,3630.517,,,,,,,,
 Account payables and accruals ,22220237,PROVISION FOR A&P 2024,-89000,8000,0,-81000,,,,,,,,
 Account payables and accruals ,22220238,PROVISION FOR A&P 2024 - FSD FERRERO,-22437,0,1437,-23874,,,,,,,,
 Account payables and accruals ,22229999,PROVISION A&P GENERAL,0,0,2682.266,-2682.266,,,,,,,,
 Statutory Reserve ,22220201,STATUTARY RESERVE,-781105.57,0,0,-781105.57,,,,,,,,
 General Reserve ,22220202,VOLUNTARY RESERVE,-626133.57,0,0,-626133.57,,,,,,,,
 Fair Value Reserve ,22220203,FAIR VALUE RESERVE,-49031,0,0,-49031,,,,,,,,
 Account payables and accruals ,22230101,PROVISION FOR EXPENSES,-109076.866,0,0,-109076.866,,,,,,,,
 Account payables and accruals ,22230104,ACCRUED INCOME,24996,5080,0,30076,,,,,,,,
 Account payables and accruals ,22230105,PROVISION FOR EXPENSE 2020,-308625.35,0,0,-308625.35,,,,,,,,
 Account payables and accruals ,22230106,PROVISION FOR EXPENSE 2022,-43792.871,0,0,-43792.871,,,,,,,,
 Account payables and accruals ,22230107,PROVISION FOR EXPENSE 2023,-471076.295,38886.681,79048.901,-511238.515,,,,,,,,
 Share Capital ,33220101,SHARE CAPITAL,-1000000,0,0,-1000000,,,,,,,,
 Loan to Relate Party ,33220103,T I H PARTNERS CURRENT ACCOUNT,18495.774,70,15700.371,2865.403,,,,,,,,
 Retained earnings ,33330103,RETAINED EARNINGS,-1290892.302,0,0,-1290892.302,,,,,,,,
 Account payables and accruals ,99990101,SUSPENSE ACCOUNT (PAYMENT),480.96,12355.367,12355.368,480.959,,,,,,,,
 Inventories ,99990103,SUSPENSE ACCOUNT (STOCK),0,2.05,2.05,0,,,,,,,,
 Control A/c ,99990104,CONTROL CUSTOMERS DR/CR,55001.345,67062.386,57907.652,64156.079,,,,,,,,
 Account payables and accruals ,99990107,KFH CO-OPS COLLECTION,6747.172,0,6747.172,0,,,,,,,,
 Account payables and accruals ,99990108,KFH CO-OPS COLLECTION SUSPENSE,521.994,240255.863,240255.863,521.994,,,,,,,,
 Account payables and accruals ,99990109,KFH DEDUCTION,0,29577.673,29577.673,0,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,#REF!,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
 -   ,,,,,,,,,,,,,,
