SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,,,,
 Distribution Costs ,55130157,MITSUBISHI-  5/84205 -  LOG-V18,965.778,238.25,0,1204.028,,,,,,,,
 Distribution Costs ,55130158,MITSUBISHI   5/80820 -  LOG-V19,663.977,169,0,832.977,,,,,,,,
 Distribution Costs ,55130159,MITSUBISHI   6/90521 -  LOG-V20,849.977,180.95,0,1030.927,,,,,,,,
 Distribution Costs ,55130160,ISUZU 4/87409 - CPD(BRN)-V21,1117.727,543.5,0,1661.227,,,,,,,,
 Distribution Costs ,55130161,ISUZU 4/87196 - CPD(BRN)-V22,803.478,70.5,0,873.978,,,,,,,,
 Distribution Costs ,55130162,ISUZU 5/91368 - CPD(BRN)-V23,471.25,55.5,0,526.75,,,,,,,,
 Distribution Costs ,55130163,ISUZU 4/87110 - CPD(BRN)-V24,645.977,50,0,695.977,,,,,,,,
 Distribution Costs ,55130166,ISUZU 7/27250 - CPD(BRN)-V26,969,90,0,1059,,,,,,,,
 Distribution Costs ,55130167,ISUZU 3/77831 - LOG,996.477,158.5,0,1154.977,,,,,,,,
 Distribution Costs ,55130168,ISUZU 3/77637 - CPD(BRN)-V28,860.727,462.5,0,1323.227,,,,,,,,
 Distribution Costs ,55130169,TOYOTA 5/31762 - LT-V32,460.35,40,0,500.35,,,,,,,,
 Distribution Costs ,55130173,TOYOTA HIACE 9/71879 - CPD(LT)-V38,589.35,65.1,0,654.45,,,,,,,,
 Distribution Costs ,55130176,ISUZU 13/11116 - LOG-V30,863.227,134.27,0,997.497,,,,,,,,
 Distribution Costs ,55130177,ISUZU 13/11282- LOG-V31,901.55,324.25,0,1225.8,,,,,,,,
 Distribution Costs ,55130178,ISUZU 17/53442-LOG-V 34,654,124.5,0,778.5,,,,,,,,
 Distribution Costs ,55130179,TOYOTA 3/11230 - CPD(LT)-V42,281.25,107.25,0,388.5,,,,,,,,
 Distribution Costs ,55130180,TOYOTA 3/14815 - CPD(LT)-V43,496.25,131.5,0,627.75,,,,,,,,
 Distribution Costs ,55130182,NISSAN 11/58449 - CPD-V29,150.5,41.5,0,192,,,,,,,,
 Distribution Costs ,55130183,ISUZU 11/78393 - LOG-V39,1006.417,196.515,0,1202.932,,,,,,,,
 Distribution Costs ,55130184,ISUZU 11/89716 - LOG-V40,1037.417,143.75,0,1181.167,,,,,,,,
 Distribution Costs ,55130185,HYUNDAI 11/74065 - CPD-V33,171,7.5,0,178.5,,,,,,,,
 Distribution Costs ,55130186,ISUZU 12/83885 - LOG-V41,1147.25,96.75,0,1244,,,,,,,,
 Distribution Costs ,55130189,HINO 13/15597 - V47 LOG,1000.75,96.25,0,1097,,,,,,,,
 Distribution Costs ,55130190,VAN 13/53293 -V48 CPD,899.3,89.75,0,989.05,,,,,,,,
 Distribution Costs ,55130193,14/26180 - LOG BW VEH,15,0,0,15,,,,,,,,
 Distribution Costs ,55130195,14/86107 - V52 CPD ETHNIC,942,191.015,0,1133.015,,,,,,,,
 Distribution Costs ,55130196,14/86011 -  V53 CPD ETHNIC,522,105.65,0,627.65,,,,,,,,
 Distribution Costs ,55130197,14/48627 - V54 CPD ETHNIC,610.4,131.5,0,741.9,,,,,,,,
 Administrative expenses ,55130198,FORK LIFT MAINTENANCE,55,0,0,55,,,,,,,,
 Distribution Costs ,55130199,14/62180 - V51 LOG,1072.75,56,0,1128.75,,,,,,,,
 Distribution Costs ,55130200,14/76310 - V50 LOG,1008.75,139,0,1147.75,,,,,,,,
 Distribution Costs ,55130202,TOYOTA COASTER 19/64026 TRANSPORT VAN,364.5,30,0,394.5,,,,,,,,
 Distribution Costs ,55130203,22/60232 ISUZU HALF LORRY 2023 MODEL LOG,0,510,0,510,,,,,,,,
 Distribution Costs ,55130204,22/60372 ISUZU HALF LORRY 2023 MODEL LOG,0,510,0,510,,,,,,,,
 Distribution Costs ,55130205,22/60464 ISUZU HALF LOORY 2023 MODEL LOG,0,513,0,513,,,,,,,,
 Administrative expenses ,55150101,AUDIT FEES,2125.002,354.167,0,2479.169,,,,,,,,
 Administrative expenses ,55150102,LEGAL FEES,17634.876,2939.146,0,20574.022,,,,,,,,
 Administrative expenses ,55150103,MAINTENANCE -PROPERTY,25294.106,4503.375,1000,28797.481,,,,,,,,
 Administrative expenses ,55150104,COMMUNICATION,5399.555,866.635,0,6266.19,,,,,,,,
 Administrative expenses ,55150105,STATIONARY,7657.266,1456.081,0,9113.347,,,,,,,,
 Administrative expenses ,55150106,ELECTRICITY & WATER,14373.516,2395.563,0,16769.079,,,,,,,,
 Administrative expenses ,55150107,RENTS,152239.998,27248.333,0,179488.331,,,,,,,,
 Administrative expenses ,55150108,TRAVELING EXPENSES,8158.313,1292.038,0,9450.351,,,,,,,,
 Administrative expenses ,55150109,SUBSCRIPTION,866.286,144.381,0,1010.667,,,,,,,,
 Administrative expenses ,55150112,COMPUTER EXPENSES,12229.571,1763.716,0,13993.287,,,,,,,,
 Administrative expenses ,55150113,COURIER & POSTAGE,293.651,51.617,0,345.268,,,,,,,,
 Administrative expenses ,55150114,INSURANCE & OTHERS,12150,2025,0,14175,,,,,,,,
 Administrative expenses ,55150115,ENTERTAINMENTS,5983.713,909.573,0,6893.286,,,,,,,,
 Administrative expenses ,55150116,OFFICE EXPENSES,11596.655,2075.122,0,13671.777,,,,,,,,
 Administrative expenses ,55150117,BAD&DOUBTFUL DEBTS,4000,0,0,4000,,,,,,,,
 Provision on obsolete inventories ,55150124,EXPENSES FOR UNDATED STOCK,-9000,0,0,-9000,,,,,,,,
